Energy Loss (eV),Intensity (u.a.)
1.51E+01,2.51E+03
1.51E+01,2.47E+03
1.52E+01,2.44E+03
1.52E+01,2.44E+03
1.53E+01,2.50E+03
1.53E+01,2.51E+03
1.54E+01,2.61E+03
1.54E+01,2.53E+03
1.55E+01,2.62E+03
1.55E+01,2.55E+03
1.56E+01,2.47E+03
1.56E+01,2.54E+03
1.57E+01,2.48E+03
1.57E+01,2.53E+03
1.58E+01,2.69E+03
1.58E+01,2.61E+03
1.59E+01,2.61E+03
1.59E+01,2.57E+03
1.60E+01,2.65E+03
1.60E+01,2.62E+03
1.61E+01,2.61E+03
1.61E+01,2.73E+03
1.62E+01,2.67E+03
1.62E+01,2.59E+03
1.63E+01,2.66E+03
1.63E+01,2.62E+03
1.64E+01,2.73E+03
1.64E+01,2.70E+03
1.65E+01,2.61E+03
1.65E+01,2.58E+03
1.66E+01,2.67E+03
1.66E+01,2.59E+03
1.67E+01,2.65E+03
1.67E+01,2.74E+03
1.68E+01,2.50E+03
1.68E+01,2.61E+03
1.69E+01,2.62E+03
1.69E+01,2.62E+03
1.70E+01,2.58E+03
1.70E+01,2.63E+03
1.71E+01,2.62E+03
1.71E+01,2.48E+03
1.72E+01,2.60E+03
1.72E+01,2.56E+03
1.73E+01,2.67E+03
1.73E+01,2.68E+03
1.74E+01,2.53E+03
1.74E+01,2.59E+03
1.75E+01,2.51E+03
1.75E+01,2.51E+03
1.76E+01,2.53E+03
1.76E+01,2.52E+03
1.77E+01,2.60E+03
1.77E+01,2.42E+03
1.78E+01,2.47E+03
1.78E+01,2.48E+03
1.79E+01,2.43E+03
1.79E+01,2.48E+03
1.80E+01,2.42E+03
1.80E+01,2.50E+03
1.81E+01,2.36E+03
1.81E+01,2.41E+03
1.82E+01,2.43E+03
1.82E+01,2.36E+03
1.83E+01,2.37E+03
1.83E+01,2.49E+03
1.84E+01,2.46E+03
1.84E+01,2.41E+03
1.85E+01,2.45E+03
1.85E+01,2.34E+03
1.86E+01,2.33E+03
1.86E+01,2.39E+03
1.87E+01,2.37E+03
1.87E+01,2.42E+03
1.88E+01,2.43E+03
1.88E+01,2.45E+03
1.89E+01,2.36E+03
1.89E+01,2.43E+03
1.90E+01,2.32E+03
1.90E+01,2.26E+03
1.91E+01,2.30E+03
1.91E+01,2.32E+03
1.92E+01,2.27E+03
1.92E+01,2.30E+03
1.93E+01,2.22E+03
1.93E+01,2.26E+03
1.94E+01,2.20E+03
1.94E+01,2.28E+03
1.95E+01,2.27E+03
1.95E+01,2.34E+03
1.96E+01,2.28E+03
